,movieId,title,genre,year,writer,director,cast,rating,runtimes,countries,languages,production companies
0,1,Toy Story (1995),"Animation,Adventure,Comedy,Family,Fantasy",1995.0,"John Lasseter,Pete Docter,Andrew Stanton,Joe Ranft,Joss Whedon,Andrew Stanton,Joel Cohen,Alec Sokolow,","John Lasseter,","Tom Hanks,Tim Allen,Don Rickles,Jim Varney,Wallace Shawn,John Ratzenberger,Annie Potts,John Morris,Erik von Detten,Laurie Metcalf,R. Lee Ermey,Sarah Freeman,Penn Jillette,Jack Angel,Spencer Aste,Greg Berg,Lisa Bradley,Kendall Cunningham,Debi Derryberry,Cody Dorkin,Bill Farmer,Craig Good,Gregory Grudt,Danielle Judovits,Sam Lasseter,Brittany Levenbrown,Sherry Lynn,Scott McAfee,Mickie McGowan,Ryan O'Donohue,Jeff Pidgeon,Patrick Pinney,Phil Proctor,Jan Rabson,Joe Ranft,Andrew Stanton,Shane Sweet,Mehmet Ali Erbil,Nathan Lane,John Lasseter,Ernie Sabella,Hannah Unkrich,Frank Welker,",8.3,81,"USA,","English,","Pixar Animation Studios,Walt Disney Pictures,"
1,2,Jumanji (1995),"Action,Adventure,Family,Fantasy,Thriller",1995.0,"Jonathan Hensleigh,Greg Taylor,Jim Strain,Greg Taylor,Jim Strain,Chris Van Allsburg,Chris Van Allsburg,","Joe Johnston,","Robin Williams,Jonathan Hyde,Kirsten Dunst,Bradley Pierce,Bonnie Hunt,Bebe Neuwirth,David Alan Grier,Patricia Clarkson,Adam Hann-Byrd,Laura Bell Bundy,James Handy,Gillian Barber,Brandon Obray,Cyrus Thiedeke,Gary Joseph Thorup,Leonard Zola,Lloyd Berry,Malcolm Stewart,Annabel Kershaw,Darryl Henriques,Robyn Driscoll,Peter Bryant,Sarah Gilson,Florica Vlad,June Lion,Brenda Lockmuller,Frederick Richardson,Frank Welker,Jaysen Clough,Daniel Olsen,Falko Schilling,David Szehi,Tom Woodruff Jr.,",6.9,104,"USA,","English,French,","TriStar Pictures,Interscope Communications,Teitler Film,"
2,3,Grumpier Old Men (1995),"Comedy,Romance",1995.0,"Mark Steven Johnson,Mark Steven Johnson,","Howard Deutch,","Walter Matthau,Jack Lemmon,Sophia Loren,Ann-Margret,Burgess Meredith,Daryl Hannah,Kevin Pollak,Katie Sagona,Ann Morgan Guilbert,James Andelin,Marcus Klemp,Max Wright,Cheryl Hawker,Wayne A. Evenson,Allison Levine,John Patrick Martin,Adam Ward,Ryan Waldoch,James Cada,Jaclyn Ross,Kyle Christopherson,Jeffrey L. Smith,Geraldo Rivera,Warren Schueneman,Jack Mitsch,Sterling Robson,Gregory Schuneman,Denny Schusted,Michelle Johnston,Wallace Olson,Carl Johnson,Eugene Karels,Lawrence Grivna,Joel Edwards,Tammara Melloy,Shirley Stoler,Ryan Wotherspoon,",6.6,101,"USA,","English,","Lancaster Gate,Warner Bros.,"
3,4,Waiting to Exhale (1995),"Comedy,Drama,Romance",1995.0,"Terry McMillan,Terry McMillan,Ronald Bass,","Forest Whitaker,","Whitney Houston,Angela Bassett,Loretta Devine,Lela Rochon,Gregory Hines,Dennis Haysbert,Mykelti Williamson,Michael Beach,Leon,Wendell Pierce,Donald Faison,Jeffrey D. Sams,Jazz Raycole,Brandon Hammond,Kenya Moore,Lamont Johnson,Wren T. Brown,Theo,Ken Love,Graham Galloway,Starletta DuPois,Shari L. Carpenter,Thomas R. Leander,Cordell Conway,Lee Wells Jr.,Hope Brown,Delaina Mitchell,Luis Sharpe,Joseph S. Myers,Ezra Swerdlow,Ellin La Var,Patricia Anne Fox,Wally Bujack,Brenda Baldwin-Davis,William Bolander,L. Scott Caldwell,Kacee DeMasi,Giancarlo Esposito,Wanda-Lee Evans,Tom Hedrick,Donyell Hinton,Bob Huff,Kelly Preston,Jose Rosete,Tim Sauer,Wesley Snipes,",5.7,124,"USA,","English,","Twentieth Century Fox Film Corporation,"
4,5,Father of the Bride Part II (1995),"Comedy,Family,Romance",1995.0,"Albert Hackett,Frances Goodrich,Nancy Meyers,Charles Shyer,","Charles Shyer,","Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley,George Newbern,Kieran Culkin,BD Wong,Peter Michael Goetz,Kate McGregor-Stewart,Jane Adams,Eugene Levy,Rebecca Chambers,April Ortiz,Dulcy Rogers,Kathy Anthony,Adrian Canzoneri,Lori Alan,Stephanie Miller,Hallie Meyers-Shyer,Jay Wolpert,Ann Walker,Sandra Silvestri,William Akey,Jonathan Emerson,Seth Kaplan,Joshua Preston,K.C. Colwell,Chase Colwell,Tony Simotes,Annie Meyers-Shyer,Linda DeScenna,Heidi Averill,Chelsea Lynn,Sue Colwell,Rodrigo Botero,Vince Lozano,Caroline Lagerfelt,Ilene Waterstone,Wendy Worthington,Dorian Spencer,Harris Laskawy,Roxanne Beckford,Valerie Hemmerich,Peter Spears,Susan Beaubian,Mychael Bates,Jerri Rose White,Shannon Kennedy,Casey Boersma,Katie Pierce,Dylan Boersma,Jonathan Selstad,Thomas Selstad,Christian Boeving,Kellie Hudson,Ashlyn Messick,Kayley Messick,David Novak,Kylie Travis,",5.9,106,"USA,","English,","Sandollar Productions,Taylor-Made Productions,The Meyers/Shyer Company,Touchstone Pictures,"
5,6,Heat (1995),"Action,Crime,Drama,Thriller",1995.0,"Michael Mann,","Michael Mann,","Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Tom Sizemore,Diane Venora,Amy Brenneman,Ashley Judd,Mykelti Williamson,Wes Studi,Ted Levine,Dennis Haysbert,William Fichtner,Natalie Portman,Tom Noonan,Kevin Gage,Hank Azaria,Susan Traylor,Kim Staunton,Danny Trejo,Henry Rollins,Jerry Trimble,Martin Ferrero,Ricky Harris,Tone Loc,Begonya Plaza,Hazelle Goodman,Ray Buktenica,Jeremy Piven,Xander Berkeley,Rick Avery,Brad Baldridge,Andrew Camuccio,Brian Camuccio,Max Daniels,Vince Deadrick Jr.,Charles Duke,Thomas Elfmont,Kenny Endoso,Kimberly Flynn,Steven Ford,Farrah Forke,Hannes Fritsch,Amanda Graves,Emily Graves,Niki Harris,Ted Harvey,Patricia Healy,Paul Herman,Cindy Katz,Brian Libby,Bill McIntosh,Dan Martin,Rick Marzan,Terry Miller,Paul Moyer,Daniel O'Haco,Mario Roberts,Phillip Robinson,Thomas Rosales Jr.,Rainell Saunders,Kai Soremekun,Rey Verdugo,Wendy L. Walsh,Yvonne Zima,Monica Lee Bellais,Peter Blackwell,Trevor Coppola,Bud Cort,Michele Edison,Mick Gould,Mary Kircher,Darin Mangan,Melissa S. Markess,Darren Melton,Robert Miranda,Manny Perry,Iva Franks Singer,Jimmy Star,Gloria Koehn Straube,Viviane Vives,Tim Werner,",8.2,170,"USA,","English,Spanish,","Warner Bros.,Regency Enterprises,Forward Pass,Art Linson Productions,Monarchy Enterprises B.V.,"
6,7,Sabrina (1995),"Comedy,Drama",1995.0,"Samuel A. Taylor,Billy Wilder,Samuel A. Taylor,Ernest Lehman,Barbara Benedek,David Rayfiel,","Sydney Pollack,","Harrison Ford,Julia Ormond,Greg Kinnear,Nancy Marchand,John Wood,Richard Crenna,Angie Dickinson,Lauren Holly,Dana Ivey,Miriam Colon,Elizabeth Franz,Fanny Ardant,Valérie Lemercier,Patrick Bruel,Becky Ann Baker,Paul Giamatti,John C. Vennema,Gregory Chase,Margo Martindale,J. Smith-Cameron,Christine Luneau-Lipton,Michael Dees,Denis Holmes,Jo-Jo Lowe,Ira Wheeler,Philippa Cooper,Ayako Kawahara,François Genty,Guillaume Gallienne,Inés Sastre,Phina Oruche,Helena,Katia,Andrea Behalikova,Jennifer Herrera,Kristina Kumlin,Eva Linderholm,Stefano Tartini,Carmen Chaplin,Micheline Van de Velde,Joanna Rhodes,Alan Boone,Patrick Forster-Delmas,Kentaro Matsuo,J.B. Benn,Peter McKernan,Ed Connelly,Ronald L. Schwary,Kenneth A. MacDonald,Alvin Lum,Siching Song,Phil Nee,Randy Becker,Susan Browning,Anthony Mondal,Peter Parks,Compagnie Jolie Môme,Woodrow W. Asai,Eric Bruno Borgman,Michael Cline,Christopher Del Gaudio,Philippe Hartmann,Jerry Quinn,Dori Rosenthal,",6.3,127,"Germany,USA,","English,French,","Constellation Entertainment,Mirage Enterprises,Mont Blanc Entertainment GmbH,Paramount Pictures,Sandollar Productions,Scott Rudin Productions,Worldwide,"
7,8,Tom and Huck (1995),"Adventure,Comedy,Drama,Family,Romance,Western",1995.0,"Mark Twain,Stephen Sommers,David Loughery,","Peter Hewitt,","Jonathan Taylor Thomas,Brad Renfro,Eric Schweig,Charles Rocket,Amy Wright,Michael McShane,Marian Seldes,Rachael Leigh Cook,Lanny Flaherty,Courtland Mead,Peter Mackenzie,Heath Lamberts,William Newman,Joey Stinson,Blake Heron,Jim Aycock,Andy Stahl,Adrian Roberts,Tiffany Lynn Clark,Kellen Hathaway,Mark Cabus,Bronwen Murray,Paul Kropfl,Newell Alexander,David Cowgill,Stuart K. Robinson,Mitch Carter,Ike Eisenmann,Mathew Valencia,Blake McIver Ewing,Rosemary Alexander,Sherry Hursey,Philece Sampler,Wendy Cutler,Tamara Mello,Edie Mirman,Toby Scott Ganger,Austin Kottke,Courtney Peldon,Katherine Zarimba,Emmy Collins,Adam Crosby,Ron Clinton Smith,Wade Woods,",5.6,97,"USA,","English,","Painted Fence Productions,Walt Disney Pictures,"
8,9,Sudden Death (1995),"Action,Crime,Thriller",1995.0,"Karen Elise Baldwin,Gene Quintano,","Peter Hyams,","Jean-Claude Van Damme,Powers Boothe,Raymond J. Barry,Whittni Wright,Ross Malinger,Dorian Harewood,Kate McNeil,Michael Gaston,Audra Lindley,Brian Delate,Steve Aronson,Michael R. Aubele,Karen Elise Baldwin,Jennifer D. Bowser,Pat Brisson,Glenda Morgan Brown,Jophery C. Brown,William Cameron,Bernard Canepari,Jay Caufield,Alan Clement,Bill Clement,Bill Dalzell,Gilbert B. Combs,Jack Erdie,Ed Evanko,David Flick,Glenn Alan Gardner,John Hall,Jeff Habberstad,Mark Hager,John Hateley,Rosine 'Ace' Hatem,Jeff Hochendoner,Jeff Howell,Brian Hutchison,Jeff Jimerson,Mark Kachowski,Callum Keith-King,Rick Le Fevour,Tommy Lafitte,Raymond Laine,Mike Lange,Butch Luick,Fred Mancuso,Anthony Marino,Larry John Meyers,Ken Milchick,Faith Minton,Paul Mochnick,Brad Moniz,Jean-Pierre Nutini,Daniel R. Pagath,Manny Perry,Allan Pinsker,Douglas Rees,Diane Robin,Luc Robitaille,Thomas Saccio,Vinnie Sciullo,Jack Skelly,Brian Smrz,Phil Spano,Paul Steigerwald,John Sterling,Harold Surratt,Rohn Thomas,Milton E. Thompson Jr.,Dixie Tymitz,Fred Waugh,Rema Webb,Dean E. Wells,James W. Anderson III,David Barckhoff,Angela M. Da Costa,Mark Golik,Joby Harris,John W. Iwanonkiw,Kristen Kress Parness,Bernie Nicholls,Markus Näslund,Robert Chase Pallone,Dwayne Pintoff,Eric Politowski,Eric Rasmussen,Dan Rosenberg,Gerard Sanders,Sandy Slicker,",5.7,111,"USA,","English,","Universal Pictures,Signature Entertainment,Imperial Entertainment,Shattered Productions,"
9,10,GoldenEye (1995),"Action,Adventure,Thriller",1995.0,"Ian Fleming,Michael France,Jeffrey Caine,Bruce Feirstein,","Martin Campbell,","Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,Joe Don Baker,Judi Dench,Robbie Coltrane,Gottfried John,Alan Cumming,Tchéky Karyo,Desmond Llewelyn,Samantha Bond,Michael Kitchen,Serena Gordon,Simon Kunz,Pavel Douglas,Olivier Lajous,Billy J. Mitchell,Constantine Gregory,Minnie Driver,Michelle Arthur,Ravil Isyanov,Vladimir Milanovich,Trevor Byfield,Peter Majer,Paul Bannon,Martin Campbell,Simon Crane,Terrance Denville,Max Faulkner,Juliet Forester,Stefan Kopiecki,Jo Anna Lee,Derek Lyons,Wayne Michaels,Bhasker Patel,Paul Sacks,Michael G. Wilson,",7.2,130,"UK,USA,","English,Russian,Spanish,","Eon Productions,United Artists,"
